Project Title,Peer Reviews Filename
Q-QWOP: Using Q-Learning for QWOP Policy Development,024_peer_reviews.pdf
Q-learning networks for settlers of Catan,228_peer_reviews.pdf
Queue RL,012_peer_reviews.pdf
RL Agent for Fish,195_peer_reviews.pdf
RL-ATC: Multi-Agent Reinforcement Learning for On-the-Ground Air Traffic Control and Planning,223_peer_reviews.pdf
Race Track Driving Using Deep Reinforcement Learning,064_peer_reviews.pdf
Racing Optimization using Deep Reinforcement Learning,170_peer_reviews.pdf
Random Adaption to Trawler Problem for Ocean Search and Rescue,160_peer_reviews.pdf
Rapid Calibration of a Cellular-Resolution Bidirectional Neural Interface,189_peer_reviews.pdf
Reinforcement Learning Approaches for Sepsis Treatment,019_peer_reviews.pdf
Reinforcement Learning Based Magnetic Detumbling of Low Earth Orbit Satellites,183_peer_reviews.pdf
Reinforcement Learning Strategies for Love Letter,229_peer_reviews.pdf
Reinforcement Learning for Autonomous Navigation of Subterranean Environments,054_peer_reviews.pdf
Reinforcement Learning for Chess Variants,065_peer_reviews.pdf
Reinforcement Learning for Gin Rummy,077_peer_reviews.pdf
Reinforcement Learning for Optimal Policy in Texas Hold'em Game,173_peer_reviews.pdf
Reinforcement Learning for Robot Waiters in Restaurants,094_peer_reviews.pdf
Reinforcement Learning for Robotic Arm Reach Problem,085_peer_reviews.pdf
Reinforcement Learning w/Stocks,191_peer_reviews.pdf
RoboCook: Long-Horizon Elasto-plastic Object Manipulation with Diverse Tools,011_peer_reviews.pdf
Robust Nonlinear Reduced-Order Model Predictive Control,205_peer_reviews.pdf
Rocket Self-Landing using Proximal Policy Optimization,118_peer_reviews.pdf
SARSA Applications to UNO!,198_peer_reviews.pdf
Safe Drilling for Subsurface Resources in the Presence of Caves Using POMDPs,161_peer_reviews.pdf
Safe Lane Merging for Autonomous Cars on the Highway through Markov Decision Process,130_peer_reviews.pdf
Safe Navigation: Training Autonomous Vehicles using Deep Reinforcement Learning in CARLA,124_peer_reviews.pdf
Satellite Collision Avoidance Through Neural Networks,212_peer_reviews.pdf
Scrabble Engine Based on MuZero,220_peer_reviews.pdf
Search and ResQ,042_peer_reviews.pdf
Self-Driving School Bus for Stanford Campus,074_peer_reviews.pdf
Settlers of Catan Settlement Placement Optimization with Deep Q-Learning,090_peer_reviews.pdf
Simple Reinforcement Learning for Space Mining Bots,069_peer_reviews.pdf
Smart Water Heater via Sparse Sampling,190_peer_reviews.pdf
Solving Half Cheetah Problem Using Offline RL,114_peer_reviews.pdf
Solving Tic-Tac-Toe,032_peer_reviews.pdf
Solving Wordle Using Monte Carlo Tree Search,132_peer_reviews.pdf
"Solving Wordle using Information Theory, Minimax Algorithms, and Q-Learning",116_peer_reviews.pdf
Solving Wordle using Reinforcement Learning,121_peer_reviews.pdf
Solving the Taxi-v3 Problem Using Model-Free Reinforcement Learning,176_peer_reviews.pdf
Taxi Route Optimization using Reinforcement Learning,082_peer_reviews.pdf
Taxi Route Recommendations Using Reinforcement Learning,048_peer_reviews.pdf
Techno-Economic Optimization of Flexible Geothermal Power and Battery Storage Using Reinforcement Learning Algorithms,138_peer_reviews.pdf
Tham Luang Cave Rescue: A Reinforcement Learning Approach,225_peer_reviews.pdf
Theseus and the Cyclops: Adventures in Navigation Using Monocular Depth Estimation,038_peer_reviews.pdf
"Think Big, Start Small: Scrabble Reinforcement Learning with K-Means State Space Compression",169_peer_reviews.pdf
Tic-Tac-Toe: An Unbeatable Foe,105_peer_reviews.pdf
Towards Teaching a Human to Walk,083_peer_reviews.pdf
Traffic Light Optimization Under Uncertainty,036_peer_reviews.pdf
Trajectory Optimization for Autonomous Parking Lot Cleaning using Q-Learning,029_peer_reviews.pdf
Transmission Expansion for Offshore Wind Farms Under Uncertainty,101_peer_reviews.pdf
Travelling with (Un)certainty,051_peer_reviews.pdf
Tropical Reforestation,009_peer_reviews.pdf
Twenty-Twenty Learning: A 2048 solver powered by Deep Q-Networks,003_peer_reviews.pdf
UAV Search and Rescue Optimization,151_peer_reviews.pdf
Understanding Push-Fold Pre-Flop Strategy for Heads-Up NLH Poker,156_peer_reviews.pdf
Using Deep Q-Learning to Improve Automated Train Systems,209_peer_reviews.pdf
Using Q-Learning to Optimize Fantasy Premier League,143_peer_reviews.pdf
Using Q-learning for autonomous driving decision-making when brakes fail,231_peer_reviews.pdf
Using Reinforcement Learning for Life and Death problem in Go,050_peer_reviews.pdf
Utility in Financial Markets,103_peer_reviews.pdf
Value Iteration and Contraceptive Method Choice: Applying Algorithmic Decision Making to Women’s Health Practices,089_peer_reviews.pdf
Value Iteration applied to Orbital Debris Removal with a Satellite,005_peer_reviews.pdf
Wildfire Evacuation Planning: Using MDPs to go Beyond Surveillance,174_peer_reviews.pdf
Wordle Got Schooled: Q-Learning Takes on the Puzzle,104_peer_reviews.pdf
Wordlebot: Improving Wordle Performance Using Forward Search,027_peer_reviews.pdf
X's and O's: Optimization of Tic-Tac-Toe,056_peer_reviews.pdf
battery-charger: Reinforcement learning techniques for wholesale market participation of grid-scale batteries,167_peer_reviews.pdf
rePlayToGrade: Auto-Grading Student Programming Assignments At Scale Using Reinforcement Learning,150_peer_reviews.pdf
